id,sequence,department_id/id,name,mos,no_of_recruitment,payroll_grade,rank_id/id
a1234-j0191,252,military_department.a1234-d059,Заступник командира роти з морально-психологічного забезпечення,3410003,1,18,military_rank.rank_190
a1234-j0192,253,military_department.a1234-d059,Технік,738945,1,10,military_rank.rank_100
a1234-j0193,254,military_department.a1234-d059,Головний сержант,100974,1,12,military_rank.rank_100
a1234-j0194,255,military_department.a1234-d059,Сержант з матеріального забезпечення,787089,1,10,military_rank.rank_90
a1234-j0195,256,military_department.a1234-d059,Старший бойовий медик,878978,1,7,military_rank.rank_80
a1234-j0196,257,military_department.a1234-d059,Старший водій,790702,2,6/4,military_rank.rank_50
a1234-j0198,259,military_department.a1234-d059,Навідник,101281,1,4/2,military_rank.rank_30
a1234-j0199,261,military_department.a1234-d060,Командир взводу,212003,1,12,military_rank.rank_190
a1234-j0200,262,military_department.a1234-d060,Головний сержант,100975,1,10,military_rank.rank_90
a1234-j0201,263,military_department.a1234-d060,Бойовий медик взводу,878033,1,7/5 ,military_rank.rank_70
a1234-j0202,265,military_department.a1234-d061,Командир відділення,100182,1,9/6 ,military_rank.rank_70
a1234-j0203,266,military_department.a1234-d061,Старший стрілець,100868,1,6/4,military_rank.rank_50
a1234-j0204,267,military_department.a1234-d061,Старший водій,790702,1,6/4,military_rank.rank_50
a1234-j0205,268,military_department.a1234-d061,Стрілець - снайпер,100672,1,4/3,military_rank.rank_30
a1234-j0206,269,military_department.a1234-d061,Гранатометник,103061,1,5/3,military_rank.rank_30
a1234-j0207,270,military_department.a1234-d061,Навідник,101281,2,4/2,military_rank.rank_30
a1234-j0209,272,military_department.a1234-d061,Стрілець - помічник гранатометника,100915/630,1,5/2,military_rank.rank_30
a1234-j0210,273,military_department.a1234-d061,Стрілець - номер обслуги,100915/533,1,5/2,military_rank.rank_30
a1234-j0211,274,military_department.a1234-d061,Стрілець - санітар,101915/534,1,5/3,military_rank.rank_30
a1234-j0212,276,military_department.a1234-d062,Командир відділення,100182,1,9/6 ,military_rank.rank_70
a1234-j0213,277,military_department.a1234-d062,Старший стрілець,100868,1,6/4,military_rank.rank_50
a1234-j0214,278,military_department.a1234-d062,Стрілець - снайпер,100672,1,4/3,military_rank.rank_30
a1234-j0215,279,military_department.a1234-d062,Гранатометник,103061,1,5/3,military_rank.rank_30
a1234-j0216,280,military_department.a1234-d062,Навідник,101281,2,4/2,military_rank.rank_30
a1234-j0218,282,military_department.a1234-d062,Стрілець - помічник гранатометника,100915/630,1,5/2,military_rank.rank_30
a1234-j0219,283,military_department.a1234-d062,Стрілець - номер обслуги,100915/533,1,5/2,military_rank.rank_30
a1234-j0220,284,military_department.a1234-d062,Стрілець - санітар,101915/534,1,5/3,military_rank.rank_30
a1234-j0221,285,military_department.a1234-d062,Водій,790037,1,5/2,military_rank.rank_30
a1234-j0222,287,military_department.a1234-d063,Командир відділення,100182,1,9/6 ,military_rank.rank_70
a1234-j0223,288,military_department.a1234-d063,Старший стрілець,100868,1,6/4,military_rank.rank_50
a1234-j0224,289,military_department.a1234-d063,Стрілець - снайпер,100672,1,4/3,military_rank.rank_30
a1234-j0225,290,military_department.a1234-d063,Гранатометник,103061,1,5/3,military_rank.rank_30
a1234-j0226,291,military_department.a1234-d063,Навідник,101281,2,4/2,military_rank.rank_30
a1234-j0228,293,military_department.a1234-d063,Стрілець - помічник гранатометника,100915/630,1,5/2,military_rank.rank_30
a1234-j0229,294,military_department.a1234-d063,Стрілець - номер обслуги,100915/533,1,5/2,military_rank.rank_30
a1234-j0230,295,military_department.a1234-d063,Стрілець - санітар,101915/534,1,5/3,military_rank.rank_30
a1234-j0231,296,military_department.a1234-d063,Водій,790037,1,5/2,military_rank.rank_30
a1234-j0232,298,military_department.a1234-d064,Командир відділення,100182,1,9/6 ,military_rank.rank_70
a1234-j0233,299,military_department.a1234-d064,Старший стрілець,100868,1,6/4,military_rank.rank_50
a1234-j0234,300,military_department.a1234-d064,Стрілець - снайпер,100672,1,4/3,military_rank.rank_30
a1234-j0235,301,military_department.a1234-d064,Гранатометник,103061,1,5/3,military_rank.rank_30
a1234-j0236,302,military_department.a1234-d064,Навідник,101281,2,4/2,military_rank.rank_30
a1234-j0238,304,military_department.a1234-d064,Стрілець - помічник гранатометника,100915/630,1,5/2,military_rank.rank_30
a1234-j0239,305,military_department.a1234-d064,Стрілець - номер обслуги,100915/533,1,5/2,military_rank.rank_30
a1234-j0240,306,military_department.a1234-d064,Стрілець - санітар,101915/534,1,5/3,military_rank.rank_30
a1234-j0241,307,military_department.a1234-d064,Водій,790037,1,5/2,military_rank.rank_30
a1234-j0242,309,military_department.a1234-d065,Командир взводу,212003,1,12,military_rank.rank_190
a1234-j0243,310,military_department.a1234-d065,Головний сержант,100975,1,10,military_rank.rank_90
a1234-j0244,311,military_department.a1234-d065,Бойовий медик взводу,878033,1,7/5 ,military_rank.rank_70
a1234-j0245,313,military_department.a1234-d066,Командир відділення,100182,1,9/6 ,military_rank.rank_70
a1234-j0246,314,military_department.a1234-d066,Старший стрілець,100868,1,6/4,military_rank.rank_50
a1234-j0247,315,military_department.a1234-d066,Старший водій,790702,1,6/4,military_rank.rank_50
a1234-j0248,316,military_department.a1234-d066,Стрілець - снайпер,100672,1,4/3,military_rank.rank_30
a1234-j0249,317,military_department.a1234-d066,Гранатометник,103061,1,5/3,military_rank.rank_30
a1234-j0250,318,military_department.a1234-d066,Навідник,101281,2,4/2,military_rank.rank_30
a1234-j0252,320,military_department.a1234-d066,Стрілець - помічник гранатометника,100915/630,1,5/2,military_rank.rank_30
a1234-j0253,321,military_department.a1234-d066,Стрілець - номер обслуги,100915/533,1,5/2,military_rank.rank_30
a1234-j0254,322,military_department.a1234-d066,Стрілець - санітар,101915/534,1,5/3,military_rank.rank_30
a1234-j0255,324,military_department.a1234-d067,Командир відділення,100182,1,9/6 ,military_rank.rank_70
a1234-j0256,325,military_department.a1234-d067,Старший стрілець,100868,1,6/4,military_rank.rank_50
a1234-j0257,326,military_department.a1234-d067,Стрілець - снайпер,100672,1,4/3,military_rank.rank_30
a1234-j0258,327,military_department.a1234-d067,Гранатометник,103061,1,5/3,military_rank.rank_30
a1234-j0259,328,military_department.a1234-d067,Навідник,101281,2,4/2,military_rank.rank_30
a1234-j0261,330,military_department.a1234-d067,Стрілець - помічник гранатометника,100915/630,1,5/2,military_rank.rank_30
a1234-j0262,331,military_department.a1234-d067,Стрілець - номер обслуги,100915/533,1,5/2,military_rank.rank_30
a1234-j0263,332,military_department.a1234-d067,Стрілець - санітар,101915/534,1,5/3,military_rank.rank_30
a1234-j0264,333,military_department.a1234-d067,Водій,790037,1,5/2,military_rank.rank_30
a1234-j0265,335,military_department.a1234-d068,Командир відділення,100182,1,9/6 ,military_rank.rank_70
a1234-j0266,336,military_department.a1234-d068,Старший стрілець,100868,1,6/4,military_rank.rank_50
a1234-j0267,337,military_department.a1234-d068,Стрілець - снайпер,100672,1,4/3,military_rank.rank_30
a1234-j0268,338,military_department.a1234-d068,Гранатометник,103061,1,5/3,military_rank.rank_30
a1234-j0269,339,military_department.a1234-d068,Навідник,101281,2,4/2,military_rank.rank_30
a1234-j0271,341,military_department.a1234-d068,Стрілець - помічник гранатометника,100915/630,1,5/2,military_rank.rank_30
a1234-j0272,342,military_department.a1234-d068,Стрілець - номер обслуги,100915/533,1,5/2,military_rank.rank_30
a1234-j0273,343,military_department.a1234-d068,Стрілець - санітар,101915/534,1,5/3,military_rank.rank_30
a1234-j0274,344,military_department.a1234-d068,Водій,790037,1,5/2,military_rank.rank_30
a1234-j0275,346,military_department.a1234-d069,Командир відділення,100182,1,9/6 ,military_rank.rank_70
a1234-j0276,347,military_department.a1234-d069,Старший стрілець,100868,1,6/4,military_rank.rank_50
a1234-j0277,348,military_department.a1234-d069,Стрілець - снайпер,100672,1,4/3,military_rank.rank_30
a1234-j0278,349,military_department.a1234-d069,Гранатометник,103061,1,5/3,military_rank.rank_30
a1234-j0279,350,military_department.a1234-d069,Навідник,101281,2,4/2,military_rank.rank_30
a1234-j0281,352,military_department.a1234-d069,Стрілець - помічник гранатометника,100915/630,1,5/2,military_rank.rank_30
a1234-j0282,353,military_department.a1234-d069,Стрілець - номер обслуги,100915/533,1,5/2,military_rank.rank_30
a1234-j0283,354,military_department.a1234-d069,Стрілець - санітар,101915/534,1,5/3,military_rank.rank_30
a1234-j0284,355,military_department.a1234-d069,Водій,790037,1,5/2,military_rank.rank_30
a1234-j0285,357,military_department.a1234-d070,Командир взводу,212003,1,12,military_rank.rank_190
a1234-j0286,358,military_department.a1234-d070,Головний сержант,100975,1,10,military_rank.rank_90
a1234-j0287,359,military_department.a1234-d070,Бойовий медик взводу,878033,1,7/5 ,military_rank.rank_70
a1234-j0288,361,military_department.a1234-d071,Командир відділення,100182,1,9/6 ,military_rank.rank_70
a1234-j0289,362,military_department.a1234-d071,Старший стрілець,100868,1,6/4,military_rank.rank_50
a1234-j0290,363,military_department.a1234-d071,Старший водій,790702,1,6/4,military_rank.rank_50
a1234-j0291,364,military_department.a1234-d071,Стрілець - снайпер,100672,1,4/3,military_rank.rank_30
a1234-j0292,365,military_department.a1234-d071,Гранатометник,103061,1,5/3,military_rank.rank_30
a1234-j0293,366,military_department.a1234-d071,Навідник,101281,2,4/2,military_rank.rank_30
a1234-j0295,368,military_department.a1234-d071,Стрілець - помічник гранатометника,100915/630,1,5/2,military_rank.rank_30
a1234-j0296,369,military_department.a1234-d071,Стрілець - номер обслуги,100915/533,1,5/2,military_rank.rank_30
a1234-j0297,370,military_department.a1234-d071,Стрілець - санітар,101915/534,1,5/3,military_rank.rank_30
a1234-j0298,372,military_department.a1234-d072,Командир відділення,100182,1,9/6 ,military_rank.rank_70
a1234-j0299,373,military_department.a1234-d072,Старший стрілець,100868,1,6/4,military_rank.rank_50
a1234-j0300,374,military_department.a1234-d072,Стрілець - снайпер,100672,1,4/3,military_rank.rank_30
a1234-j0301,375,military_department.a1234-d072,Гранатометник,103061,1,5/3,military_rank.rank_30
a1234-j0302,376,military_department.a1234-d072,Навідник,101281,2,4/2,military_rank.rank_30
a1234-j0304,378,military_department.a1234-d072,Стрілець - помічник гранатометника,100915/630,1,5/2,military_rank.rank_30
a1234-j0305,379,military_department.a1234-d072,Стрілець - номер обслуги,100915/533,1,5/2,military_rank.rank_30
a1234-j0306,380,military_department.a1234-d072,Стрілець - санітар,101915/534,1,5/3,military_rank.rank_30
a1234-j0307,381,military_department.a1234-d072,Водій,790037,1,5/2,military_rank.rank_30
a1234-j0308,383,military_department.a1234-d073,Командир відділення,100182,1,9/6 ,military_rank.rank_70
a1234-j0309,384,military_department.a1234-d073,Старший стрілець,100868,1,6/4,military_rank.rank_50
a1234-j0310,385,military_department.a1234-d073,Стрілець - снайпер,100672,1,4/3,military_rank.rank_30
a1234-j0311,386,military_department.a1234-d073,Гранатометник,103061,1,5/3,military_rank.rank_30
